Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Critical
Martinique,155,+1,6,,50,99,19
Djibouti,150,+10,1,,36,113,
Guadeloupe,143,,8,,67,68,13
Brunei,136,+1,1,,99,36,3
Paraguay,129,+5,6,+1,18,105,1
Gibraltar,127,+4,,,69,58,1
Guatemala,126,+31,3,,17,106,3
Cambodia,119,,,,72,47,1
Rwanda,118,+5,,,7,111,
El Salvador,117,+14,6,,15,96,4
Trinidad and Tobago,109,,8,,1,100,
Madagascar,93,,,,11,82,1
Monaco,90,+6,1,,5,84,4
Mali,87,+13,7,,22,58,
Aruba,86,+4,,,27,59,
French Guiana,83,,,,43,40,1
Liechtenstein,79,+1,1,,55,23,
Togo,76,+3,3,,25,48,
Barbados,67,+1,4,+1,11,52,4
Ethiopia,65,+9,3,+1,4,58,1
Jamaica,63,,4,,13,46,
Congo,60,,5,,5,50,
Uganda,53,,,,,53,
French Polynesia,51,,,,,51,
Sint Maarten,50,+7,8,+2,3,39,2
Bermuda,48,,4,,25,19,2
Cayman Islands,45,,1,,6,38,
Macao,45,,,,10,35,1
Gabon,44,,1,,1,42,
Bahamas,42,+1,8,,5,29,1
Zambia,40,+1,2,+1,25,13,1
Guyana,37,,6,,8,23,4
Liberia,37,+6,5,+1,3,29,
Guinea-Bissau,36,,,,,36,
Benin,35,+9,1,,5,29,
Eritrea,34,+1,,,,34,
Tanzania,32,+7,3,+2,5,24,
Saint Martin,32,,2,,11,19,5
Haiti,31,+1,2,,,29,
Myanmar,27,+4,3,,2,22,
Libya,24,,1,,8,15,
Antigua and Barbuda,21,+2,2,,,19,1
Somalia,21,+9,1,,1,19,
Mozambique,20,+3,,,2,18,
Angola,19,,2,,2,15,
Syria,19,,2,,4,13,
Maldives,19,,,,13,6,
Equatorial Guinea,18,,,,3,15,
New Caledonia,18,,,,1,17,
Sudan,17,+2,2,,2,13,
Dominica,16,+1,,,5,11,
Fiji,16,+1,,,,16,
Laos,16,,,,,16,
Mongolia,16,,,,4,12,
Namibia,16,,,,3,13,
Saint Lucia,15,+1,,,1,14,
Curaçao,14,,1,,7,6,
Grenada,14,+2,,,,14,2
Zimbabwe,13,+2,3,,,10,
Botswana,13,,1,,,12,
Saint Kitts and Nevis,12,+1,,,,12,
St. Vincent Grenadines,12,,,,1,11,
Eswatini,12,,,,7,5,
Chad,11,,,,2,9,
Greenland,11,,,,11,0,
Seychelles,11,,,,,11,
Belize,10,+1,2,+1,,8,1
Suriname,10,,1,,4,5,
MS Zaandam,9,,2,,,7,
Malawi,9,+1,1,,,8,1
Nepal,9,,,,1,8,
Montserrat,9,,,,,9,1
Turks and Caicos,8,,1,,,7,
CAR,8,,,,,8,
Vatican City,8,,,,2,6,
Sierra Leone,8,+1,,,,8,
Cabo Verde,7,,1,,1,5,
Mauritania,7,,1,,2,4,
Nicaragua,7,,1,,,6,
St. Barth,6,,,,1,5,
Bhutan,5,,,,2,3,
Falkland Islands,5,,,,1,4,
Gambia,4,,1,,2,1,
Sao Tome and Principe,4,,,,,4,
South Sudan,4,+1,,,,4,
Western Sahara,4,,,,,4,
Anguilla,3,,,,,3,
British Virgin Islands,3,,,,,3,
Burundi,3,,,,,3,
Caribbean Netherlands,2,,,,,2,
Papua New Guinea,2,,,,,2,
Timor-Leste,2,+1,,,1,1,
Saint Pierre Miquelon,1,,,,,1,
Yemen,1,+1,,,,1,
China,"81,907",,"3,336",,"77,455","1,116",144
