#,Movie,Rating
1,"
      1.
      The Shawshank Redemption
(1994)
","
9.2
"
2,"
      2.
      The Godfather
(1972)
","
9.1
"
3,"
      3.
      The Godfather: Part II
(1974)
","
9.0
"
4,"
      4.
      The Dark Knight
(2008)
","
9.0
"
5,"
      5.
      12 Angry Men
(1957)
","
8.9
"
6,"
      6.
      Schindler's List
(1993)
","
8.9
"
7,"
      7.
      The Lord of the Rings: The Return of the King
(2003)
","
8.9
"
8,"
      8.
      Pulp Fiction
(1994)
","
8.8
"
9,"
      9.
      Il buono, il brutto, il cattivo
(1966)
","
8.8
"
10,"
      10.
      The Lord of the Rings: The Fellowship of the Ring
(2001)
","
8.8
"
11,"
      11.
      Fight Club
(1999)
","
8.8
"
12,"
      12.
      Forrest Gump
(1994)
","
8.8
"
13,"
      13.
      Inception
(2010)
","
8.7
"
14,"
      14.
      Star Wars: Episode V - The Empire Strikes Back
(1980)
","
8.7
"
15,"
      15.
      The Lord of the Rings: The Two Towers
(2002)
","
8.7
"
16,"
      16.
      The Matrix
(1999)
","
8.6
"
17,"
      17.
      Goodfellas
(1990)
","
8.6
"
18,"
      18.
      One Flew Over the Cuckoo's Nest
(1975)
","
8.6
"
19,"
      19.
      Shichinin no samurai
(1954)
","
8.6
"
20,"
      20.
      Se7en
(1995)
","
8.6
"
21,"
      21.
      Cidade de Deus
(2002)
","
8.6
"
22,"
      22.
      La vita è bella
(1997)
","
8.6
"
23,"
      23.
      The Silence of the Lambs
(1991)
","
8.6
"
24,"
      24.
      It's a Wonderful Life
(1946)
","
8.6
"
25,"
      25.
      Star Wars
(1977)
","
8.6
"
26,"
      26.
      Gisaengchung
(2019)
","
8.6
"
27,"
      27.
      Saving Private Ryan
(1998)
","
8.5
"
28,"
      28.
      Sen to Chihiro no kamikakushi
(2001)
","
8.5
"
29,"
      29.
      The Green Mile
(1999)
","
8.5
"
30,"
      30.
      Interstellar
(2014)
","
8.5
"
31,"
      31.
      Léon
(1994)
","
8.5
"
32,"
      32.
      The Usual Suspects
(1995)
","
8.5
"
33,"
      33.
      Seppuku
(1962)
","
8.5
"
34,"
      34.
      The Lion King
(1994)
","
8.5
"
35,"
      35.
      American History X
(1998)
","
8.5
"
36,"
      36.
      Terminator 2: Judgment Day
(1991)
","
8.5
"
37,"
      37.
      The Pianist
(2002)
","
8.5
"
38,"
      38.
      Back to the Future
(1985)
","
8.5
"
39,"
      39.
      Modern Times
(1936)
","
8.5
"
40,"
      40.
      Psycho
(1960)
","
8.5
"
41,"
      41.
      Gladiator
(2000)
","
8.5
"
42,"
      42.
      City Lights
(1931)
","
8.5
"
43,"
      43.
      The Intouchables
(2011)
","
8.5
"
44,"
      44.
      The Departed
(2006)
","
8.5
"
45,"
      45.
      Whiplash
(2014)
","
8.5
"
46,"
      46.
      The Prestige
(2006)
","
8.5
"
47,"
      47.
      Once Upon a Time in the West
(1968)
","
8.5
"
48,"
      48.
      Hotaru no haka
(1988)
","
8.4
"
49,"
      49.
      Joker
(2019)
","
8.4
"
50,"
      50.
      Casablanca
(1942)
","
8.4
"
51,"
      51.
      Rear Window
(1954)
","
8.4
"
52,"
      52.
      Nuovo Cinema Paradiso
(1988)
","
8.4
"
53,"
      53.
      Alien
(1979)
","
8.4
"
54,"
      54.
      Apocalypse Now
(1979)
","
8.4
"
55,"
      55.
      Raiders of the Lost Ark
(1981)
","
8.4
"
56,"
      56.
      Memento
(2000)
","
8.4
"
57,"
      57.
      The Great Dictator
(1940)
","
8.4
"
58,"
      58.
      The Lives of Others
(2006)
","
8.4
"
59,"
      59.
      Django Unchained
(2012)
","
8.4
"
60,"
      60.
      Paths of Glory
(1957)
","
8.4
"
61,"
      61.
      The Shining
(1980)
","
8.4
"
62,"
      62.
      Avengers: Infinity War
(2018)
","
8.4
"
63,"
      63.
      WALL·E
(2008)
","
8.4
"
64,"
      64.
      Sunset Blvd.
(1950)
","
8.4
"
65,"
      65.
      Spider-Man: Into the Spider-Verse
(2018)
","
8.4
"
66,"
      66.
      Mononoke-hime
(1997)
","
8.4
"
67,"
      67.
      Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
(1964)
","
8.4
"
68,"
      68.
      Oldeuboi
(2003)
","
8.4
"
69,"
      69.
      Witness for the Prosecution
(1957)
","
8.4
"
70,"
      70.
      Avengers: Endgame
(2019)
","
8.3
"
71,"
      71.
      The Dark Knight Rises
(2012)
","
8.3
"
72,"
      72.
      Once Upon a Time in America
(1984)
","
8.3
"
73,"
      73.
      Aliens
(1986)
","
8.3
"
